ID,CITY,LONGITUDE,LATITUDE,UTMX,UTMY
59741,BURNABY,-122.96889442511298,49.20581759492203,502265.75100000016,5450336.422
55179,DELTA,-122.96375700032506,49.089716999975494,502646.13989999983,5437429.9046
54877,DELTA,-122.96217359567265,49.08939162394247,502761.76400000043,5437393.789999999
52367,RICHMOND,-122.96484108746395,49.181625641889404,502562.2479999997,5447647.1559999995
52771,BURNABY,-122.95848488033786,49.21197041998329,503023.61400000006,5451020.790999999
58117,BURNABY,-122.95990244288464,49.21836356032007,502919.99399999995,5451731.457
53067,BURNABY,-122.96726614131266,49.22925805169809,502383.2290000003,5452942.335000001
52346,DELTA,-122.95272312639435,49.161670723397435,503446.74399999995,5445429.277000001
52363,NEW WESTMINSTER,-122.949797972147,49.185031534459064,503658.28199999966,5448026.403000001
52233,NEW WESTMINSTER,-122.94987814820857,49.201937785140565,503651.1950000003,5449905.85
57977,NEW WESTMINSTER,-122.94894000057899,49.200020999741824,503719.6793999998,5449692.8083
52404,BURNABY,-122.9571325176944,49.218350170108074,503121.7070000004,5451730.079
52410,BURNABY,-122.95311778489572,49.21723097441237,503414.1459999997,5451605.832
52347,DELTA,-122.9483452431211,49.163711541947805,503765.76099999994,5445656.359999999
52349,DELTA,-122.93956769136608,49.169735798856806,504405.1320000002,5446326.540999999
52384,DELTA,-122.94312955994481,49.173381407612645,504145.1900000004,5446731.617000001
56029,NEW WESTMINSTER,-122.94727179433148,49.18793223763416,503842.14300000016,5448348.995999999
52372,NEW WESTMINSTER,-122.94697548050004,49.18667984497049,503863.8320000004,5448209.784
52376,NEW WESTMINSTER,-122.94392253530282,49.18736448535008,504086.2400000002,5448286.055
52235,NEW WESTMINSTER,-122.94570565293948,49.2041964088037,503954.966,5450157.149
52236,NEW WESTMINSTER,-122.94347268930467,49.205399331022456,504117.5219999999,5450290.995999999
52629,BURNABY,-122.94648918153324,49.21439135169645,503897.08999999985,5451290.472999999
51412,BURNABY,-122.93917234078884,49.22256451640928,504429.2309999997,5452199.482000001
52414,BURNABY,-122.94277268353171,49.22306651105716,504167.0259999996,5452255.084000001
51439,BURNABY,-122.94177460592381,49.22481222739067,504239.55200000014,5452449.210000001
54955,DELTA,-122.93802873881359,49.158753024984165,504518.31099999975,5445105.694
52377,NEW WESTMINSTER,-122.93864000277388,49.18955478720351,504470.9689999996,5448529.846999999
53586,NEW WESTMINSTER,-122.93394160004803,49.20588118867824,504811.73199999984,5450345.126
52622,NEW WESTMINSTER,-122.93238579769309,49.209188981847085,504924.7290000003,5450712.950999999
52621,NEW WESTMINSTER,-122.93074624009158,49.20787520173719,505044.2810000004,5450567.006999999
53498,NEW WESTMINSTER,-122.93015649245181,49.20776630944602,505087.2479999997,5450554.941
